Empresa,sector,ventas_anuales,empleados,adopcion_tecnologica,tecnologias_utilizadas,proposito_hoy,proposito_18_anos,_latency_s
Deprisa,Servicios,Mediana (baja) — $1.000–10.000 M,201-500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer servicios de distribución y logística eficientes y confiables en Colombia.,"Ser líder en el mercado de servicios de distribución y logística en Colombia, expandiendo nuestra cobertura geográfica y tecnológica.",2.5476
4-72 Servicios Postales,Servicios,Mediana (baja) — $1.000–10.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Ser líder en servicios postales en Colombia, ofreciendo soluciones innovadoras y eficientes a nuestros clientes.","Consolidarnos como un operador logístico integral en Latinoamérica, expandiendo nuestra oferta de servicios y alcanzando altos niveles de eficiencia y calidad.",2.5616
Grupo TCC,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en el sector de servicios de transporte y logística en Colombia y LATAM.,"Ser reconocidos como un grupo empresarial diversificado y sostenible, con influencia regional y presencia en nuevos mercados.",2.65
Envía Colvanes,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en el sector de servicios de paquetería y logística en Colombia.,Ser reconocidos como una de las empresas de logística más innovadoras y sostenibles de América Latina.,2.5614
Rappi,Tecnología,Grande — > $50.000 M,>500,"Avanzado - Uso intensivo de tecnologías emergentes, IA, IoT, etc.",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,Ser líder en la entrega de comida a domicilio en Colombia y otros países de Latinoamérica.,"Ser la plataforma de entrega más grande y eficiente del mundo, expandiendo nuestra presencia en nuevos mercados.",2.6645
Mercado Libre Colombia,Tecnología,Grande — > $50.000 M,>500,"Avanzado - Uso intensivo de tecnologías emergentes, IA, IoT, etc.",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Internet de las cosas (IoT); Computación en la nube; Ciberseguridad,"Ser el marketplace líder en Colombia, ofreciendo una experiencia de compra y venta innovadora y segura.","Consolidarnos como la plataforma de comercio electrónico más grande e influyente en Latinoamérica, impulsando el crecimiento económico y la inclusión digital.",2.9993
LATAM Airlines Colombia,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líder en la industria aérea en Latinoamérica, ofreciendo experiencias de viaje seguras y satisfactorias.","Consolidarnos como la aerolínea más grande y eficiente de Latinoamérica, con un enfoque en la sostenibilidad y la innovación.",2.689
SATENA,Servicios,Mediana (baja) — $1.000–10.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer servicios de transporte aéreo seguros y eficientes en Colombia.,"Consolidarnos como líderes en el transporte aéreo regional, expandiendo nuestra cobertura y servicios.",2.812
Wingo,Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ofrecer servicios de transporte aéreo de pasajeros y carga con eficiencia y seguridad.,"Ser líder en la región en servicios de transporte aéreo, expandiendo nuestra oferta de destinos y servicios.",2.5678
Viva Air (en reorganización),Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Superar la reorganización y mantenernos como una aerolínea líder en Colombia.,Ser la aerolínea más importante de Latinoamérica en términos de eficiencia y calidad de servicio.,2.5506
Ultra Air (liquidación),Servicios,Mediana (baja) — $1.000–10.000 M,201-500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Finalizar procesos de liquidación de manera eficiente y responsable.,Ser recordada como una aerolínea que conectó a Colombia con el mundo de manera segura y eficiente.,2.572
Sociedad Portuaria Regional de Cartagena (SPRC),Servicios,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer servicios portuarios eficientes y seguros,Consolidarnos como líderes en servicios portuarios en América Latina,2.4975
Sociedad Portuaria Regional de Buenaventura,Servicios,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Ser líderes en la gestión portuaria, mejorando la eficiencia y competitividad del comercio internacional.","Consolidarnos como un hub logístico y comercial líder en América Latina, impulsando el desarrollo económico y sostenible de la región.",2.5724
Sociedad Portuaria Regional de Santa Marta,Servicios,Mediana (baja) — $1.000–10.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Brindar servicios portuarios eficientes y seguros en Santa Marta.,Consolidarnos como líderes en servicios portuarios en Colombia y expandernos a nivel internacional.,2.5271
Sociedad Portuaria Regional de Barranquilla,Servicios,Mediana (baja) — $1.000–10.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Optimizar las operaciones portuarias y mejorar la eficiencia en la gestión de cargas.,Consolidarnos como el principal centro de comercio y logística en la región Caribe de Colombia.,2.5355
Puerto Antioquia,Construcción,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en el sector portuario en Colombia, mejorando la eficiencia y competitividad en el mercado.","Ser un referente a nivel mundial en la gestión portuaria sostenible e innovadora, maximizando el valor para nuestros clientes y stakeholders.",2.6215
Zona Franca de Bogotá,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer servicios integrales de zona franca para impulsar el comercio y la inversión en Bogotá.,Consolidarnos como líderes en servicios de zona franca en Colombia y expandernos a nivel regional.,2.588
Zona Franca del Pacífico,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer servicios integrales de logística y distribución en Zona Franca del Pacífico.,Consolidarnos como líderes en servicios de logística y distribución en Colombia y expandernos a nivel regional.,2.5823
Zona Franca de Rionegro,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Ser líderes en servicios de Zona Franca en Colombia, ofreciendo soluciones integrales y valor agregado a nuestros clientes.","Consolidarnos como el principal operador de Zona Franca en Colombia y expandir nuestra influencia en la región, impulsando el desarrollo económico y la innovación.",2.6436
Zona Franca de Cartagena,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ofrecer servicios integrales de zona franca para impulsar el comercio internacional y el desarrollo económico en Cartagena.,Consolidarnos como líderes en servicios de zona franca en Colombia y expandernos a nuevos mercados internacionales.,2.5624
Zona Franca de Barranquilla,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Ser líder en servicios de Zona Franca en Colombia, ofreciendo soluciones integrales y eficientes.","Consolidarnos como el principal operador de Zona Franca en América Latina, expandiendo nuestra oferta de servicios y alcanzando un mayor impacto económico y social.",2.6034
Concesión Ruta del Sol,Construcción,Grande — > $50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Construir y mantener infraestructura vial de alta calidad en Colombia.,Ser líderes en la construcción de infraestructura vial en Latinoamérica.,2.5074
Concesión Pacífico 3,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Construir y mantener infraestructura vial de alta calidad para mejorar la conectividad y competitividad del país.,"Ser líderes en la concesión de infraestructura vial en Colombia, con un enfoque en la sostenibilidad y la innovación.",2.5637
Concesión Pacífico 2,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Construir y mantener infraestructura vial de alta calidad en Colombia.,Ser líderes en la construcción de infraestructura en América Latina.,2.5979
Concesión Pacífico 1,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Construir y mantener infraestructura vial de alta calidad para mejorar la conectividad y el desarrollo económico en Colombia.,"Ser líderes en la concesión de infraestructura vial en Colombia, reconocidos por nuestra excelencia en servicio, innovación y sostenibilidad.",2.5864
Concesión Autopista al Mar 1,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Gestionar y mantener la Concesión Autopista al Mar 1, mejorando la movilidad y conectividad en la región.","Ser líderes en la gestión de infraestructura vial en Colombia, expandiendo nuestra presencia en el mercado y mejorando la calidad de vida de las comunidades.",2.6677
Concesión Autopista al Mar 2,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Gestionar y mantener la Concesión Autopista al Mar 2, mejorando la movilidad y conectividad en la región.","Ser líderes en la gestión de infraestructura vial en Colombia, expandiendo nuestra cobertura y servicios de alta calidad.",2.6029
Concesión Mar 2,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Construir y mantener infraestructuras viales de alta calidad en Colombia.,Ser líderes en la construcción de infraestructuras sostenibles y seguras en América Latina.,2.5262
Concesión Devimar,Construcción,Mediana (alta) — $10.000–50.000 M,201-500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Construir y gestionar infraestructura para mejorar la calidad de vida de las comunidades.,Ser líder en la construcción y gestión de infraestructura sostenible en Colombia y Latinoamérica.,2.5716
Concesión Covipacífico,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Construir y mantener infraestructura de transporte de alta calidad,Ser líder en la construcción de infraestructura en Colombia y LATAM,2.5858
Concesión Conexión Norte,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Construir y mantener infraestructura de transporte de alta calidad,Ser líder en la construcción de infraestructura en Colombia y LATAM,2.8173
Concesión Vías del Nus,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Construir y mantener infraestructura vial segura y eficiente en Colombia.,"Ser líderes en la gestión de infraestructura vial en Colombia, impulsando el desarrollo económico y social del país.",2.6777
Concesión Vía 40 Express,Construcción,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Ciberseguridad; Computación en la nube,Construir y mantener infraestructura vial de alta calidad para mejorar la conectividad y competitividad del país.,"Ser líderes en la concesión de infraestructura vial en Colombia, con un enfoque en la innovación, la sostenibilidad y la seguridad.",2.6552
Concesión Accesos Norte Bogotá,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Construir y mantener infraestructuras viales de alta calidad que mejoren la movilidad en Bogotá.,Ser líderes en la construcción de infraestructuras sostenibles y seguras en Colombia.,2.5775
Concesión Malla Vial del Meta,Construcción,Mediana (baja) — $1.000–10.000 M,51-200,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Gestionar y mantener la infraestructura vial del Meta de manera eficiente y segura.,"Ser líderes en la gestión de infraestructuras viales en Colombia, expandiendo nuestra cobertura y servicios.",3.0257
Concesión Malla Vial del Valle,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Gestionar y mantener la infraestructura vial del Valle,Ser líderes en gestión de infraestructura vial en Colombia,3.0304
Concesión Rumichaca-Pasto,Construcción,Mediana (baja) — $1.000–10.000 M,51-200,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Gestionar y mantener la concesión vial Rumichaca-Pasto de manera eficiente y segura.,"Ser líderes en la gestión de concesiones viales en Colombia, expandiendo nuestra cobertura y servicios.",2.5801
Constructora Bolívar,Construcción,Grande — > $50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ser líderes en construcción sostenible en Colombia,Consolidarnos como una de las constructoras más importantes de Latinoamérica,2.8324
Constructora Colpatria,Construcción,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Computación en la nube; Ciberseguridad; Big Data y analítica avanzada; Automatización / Robótica,Ser líderes en la construcción de proyectos innovadores y sostenibles en Colombia,Consolidarnos como una de las constructoras más importantes de América Latina,2.7569
Amarilo,Construcción,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en el sector de la construcción en Colombia, ofreciendo soluciones innovadoras y sostenibles.",Ser reconocidos como una de las empresas más importantes y sostenibles en el sector de la construcción en América Latina.,2.6508
Conconcreto,Construcción,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Conducir la construcción de infraestructura en Colombia con innovación y sostenibilidad.,Ser líder en la construcción de infraestructura sostenible en Latinoamérica.,2.5548
Odinsa,Construcción,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en el sector de la construcción en Colombia y LATAM.,Ser reconocidos como una de las empresas más innovadoras y sostenibles en el sector.,2.566
Grupo CDO,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en servicios de distribución y logística en Colombia.,Ser reconocidos como un grupo empresarial diversificado y sostenible en Latinoamérica.,2.5728
Arquitectura y Concreto,Construcción,Mediana (alta) — $10.000–50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,"Ser líderes en el sector de la construcción en Colombia, ofreciendo soluciones innovadoras y sostenibles.","Consolidarnos como una de las empresas de construcción más importantes de América Latina, expandiendo nuestra presencia en nuevos mercados.",2.6561
Marval,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Marval buscamos brindar soluciones innovadoras y de alta calidad a nuestros clientes, aprovechando nuestra experiencia y capacidades en el sector de servicios.","En 18 años, Marval aspira a ser líder en la prestación de servicios integrales, reconocida por su innovación, sostenibilidad y aporte a la sociedad.",2.7183
Prodesa,Agroindustria,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Prodesa busca liderar la innovación en la agroindustria colombiana, mejorando la eficiencia y sostenibilidad en el sector.","En 18 años, Prodesa aspira a ser un referente global en soluciones agroindustriales, impulsando el desarrollo rural y la seguridad alimentaria.",2.6672
Cusezar,Tecnología,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ser líder en soluciones tecnológicas integrales en Colombia y LATAM.,Consolidarnos como un grupo de tecnología con influencia global.,2.6288
Corona,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Ser líderes en la producción y distribución de bebidas en Colombia y otros países de Latinoamérica.,Consolidarnos como una de las empresas más grandes y sostenibles de la industria de bebidas en América Latina.,2.5571
Compañía Colombiana de Cerámica (Corona),Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en el mercado de cerámica en Colombia y mejorar nuestra eficiencia productiva.,Ser reconocidos como una empresa líder en innovación y sostenibilidad en el sector de la cerámica a nivel global.,2.6745
Grival,Manufactura,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en el sector manufacturero en Colombia, mejorando la eficiencia y calidad de nuestros productos.","Ser una empresa referente a nivel global en manufactura, conocida por nuestra innovación y sostenibilidad.",2.5843
Sanitarios Corona,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Sanitarios Corona busca liderar el mercado de productos sanitarios en Colombia, ofreciendo soluciones innovadoras y de alta calidad.","En 18 años, Sanitarios Corona aspira a ser un referente global en la industria de productos sanitarios, expandiendo su presencia en Latinoamérica y más allá.",2.6008
Haceb,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en la industria de manufactura en Colombia, mejorando la eficiencia y calidad de nuestros productos.","Ser una empresa de manufactura líder a nivel global, reconocida por su innovación y sostenibilidad en la producción de bienes.",2.5725
Challenger,Tecnología,Mediana (alta) — $10.000–50.000 M,201-500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Desarrollar soluciones tecnológicas innovadoras para satisfacer las necesidades del mercado,"Ser líder en el sector tecnológico a nivel global, con un impacto positivo en la sociedad",2.5656
Colmotores,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Colmotores busca mantener su liderazgo en la industria automotriz colombiana, innovando en productos y servicios.","En 18 años, Colmotores aspira a ser un referente global en movilidad sostenible y tecnología automotriz avanzada.",2.5833
Renault Sofasa,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en el mercado automotriz colombiano, ofreciendo productos innovadores y servicios de alta calidad.","Ser reconocidos como un referente en la industria automotriz en Latinoamérica, destacando por nuestra innovación, sostenibilidad y compromiso con los clientes.",2.7599
General Motors Colmotores,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Inteligencia Artificial; Ciberseguridad; Computación en la nube,"Ser líder en la industria automotriz en Colombia, ofreciendo vehículos innovadores y de alta calidad.","Consolidarnos como una de las principales empresas automotrices en América Latina, expandiendo nuestra presencia en la región.",2.6024
Toyota de Colombia,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad; Inteligencia Artificial,"Ser líderes en la industria automotriz en Colombia, ofreciendo productos y servicios de alta calidad.",Consolidarnos como la marca de vehículos más confiable y sostenible en el mercado colombiano.,2.588
Auteco,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la industria automotriz en Colombia y Centroamérica.,Ser un referente en innovación y sostenibilidad en la región.,2.5491
Auteco Mobility,Manufactura,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Auteco Mobility, nuestro propósito es liderar la transformación de la movilidad en Colombia y la región, ofreciendo soluciones innovadoras y sostenibles que mejoren la calidad de vida de las personas.","En 18 años, nuestro objetivo es consolidarnos como un referente global en la industria de la movilidad, reconocido por nuestra innovación, sostenibilidad y compromiso con la sociedad.",2.6668
AKT Motos,Manufactura,Mediana (alta) — $10.000–50.000 M,201-500,Medio - Digitalización de algunos procesos,Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en el mercado de motos en Colombia, ofreciendo productos de alta calidad y servicio excepcional.","Ser reconocidos como una de las marcas de motos más importantes a nivel global, con una fuerte presencia en Latinoamérica y expansión en nuevos mercados.",2.6189
Incolmotos Yamaha,Comercio,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en la comercialización de motocicletas y productos Yamaha en Colombia, brindando experiencias únicas a nuestros clientes.","Ser reconocidos como la marca número uno en el mercado colombiano, expandiendo nuestra presencia en la región y diversificando nuestros productos y servicios.",2.6547
Casa Toro,Manufactura,Mediana (alta) — $10.000–50.000 M,201-500,Medio - Digitalización de algunos procesos,Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube,"Ser líderes en la producción de bienes de consumo en Colombia, con un enfoque en la calidad y la innovación.","Consolidarnos como una empresa líder en la industria manufacturera en América Latina, expandiendo nuestra presencia en nuevos mercados.",2.6336
Navitrans,Servicios,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en el sector de servicios de transporte y logística en Colombia.,Ser reconocidos como una de las empresas de servicios de transporte y logística más innovadoras y sostenibles de América Latina.,2.6038
Massy Motors Colombia,Comercio,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líderes en la comercialización de vehículos en Colombia, ofreciendo una experiencia de compra y servicio excepcional a nuestros clientes.","Consolidarnos como la empresa de comercialización de vehículos más grande y prestigiosa de Colombia, expandiendo nuestra presencia en la región.",2.701
Autogermana,Comercio,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líderes en la comercialización de vehículos en Colombia, brindando una experiencia de compra y servicio excepcional a nuestros clientes.","Consolidarnos como la empresa de comercio de vehículos más grande y respetada en Colombia, expandiendo nuestra presencia en el mercado latinoamericano.",2.6312
Metrokia,Tecnología,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Metrokia, nos enfocamos en desarrollar soluciones tecnológicas innovadoras que mejoren la calidad de vida de las personas.","En 18 años, queremos ser líderes en la industria tecnológica en Colombia y Latinoamérica, conocidos por nuestra innovación y compromiso con la sociedad.",2.6053
Motorysa,Comercio,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Ser líderes en la comercialización de vehículos y servicios relacionados en Colombia, brindando soluciones innovadoras y una experiencia excepcional al cliente.","Consolidarnos como un grupo empresarial diversificado y líder en el sector automotriz en Colombia y la región, reconocido por nuestra innovación, servicio y sostenibilidad.",2.8768
Derco Colombia,Comercio,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Derco Colombia, buscamos liderar el mercado de la distribución y retail, ofreciendo productos y servicios de alta calidad a nuestros clientes.","En 18 años, queremos consolidarnos como líderes en el mercado, expandiendo nuestra presencia en Colombia y Latinoamérica, e impulsando la innovación en nuestros procesos y servicios.",2.6365
Fanalca,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"En Fanalca, nos esforzamos por ser líderes en la fabricación de productos de alta calidad, centrados en el cliente y con un fuerte compromiso con la innovación y la sostenibilidad.","En 18 años, Fanalca aspira a ser reconocida como una de las empresas más innovadoras y sostenibles en su sector, expandiendo su presencia global y su impacto positivo en la comunidad.",2.6467
Superpolo,Manufactura,Grande — > $50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la industria textil en Colombia y mejorar nuestra eficiencia operativa.,"Ser una empresa de alcance global, reconocida por su innovación y sostenibilidad en el sector de la moda.",2.5767
Busscar de Colombia,Manufactura,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,"Consolidarnos como líderes en la fabricación de carrocerías para buses en Colombia, mejorando continuamente la calidad y el servicio.","Ser reconocidos a nivel internacional por nuestra innovación y excelencia en la producción de soluciones de transporte terrestre, expandiendo nuestra presencia en mercados de América Latina y más allá.",2.6347
Colombiana de Incubación (Incubacol),Tecnología,Mediana (baja) — $1.000–10.000 M,51-200,"Alto - Automatización, analítica, plataformas integradas",Inteligencia Artificial; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Acompañar a startups en sus procesos de incubación para generar impacto en la economía colombiana.,Ser líder en la región en servicios de incubación y aceleración de empresas de base tecnológica.,2.609
Avidesa,Agroindustria,Mediana (alta) — $10.000–50.000 M,>500,"Alto - Automatización, analítica, plataformas integradas",Automatización / Robótica; Big Data y analítica avanzada; Computación en la nube; Ciberseguridad,Consolidarnos como líderes en la producción y comercialización de productos avícolas de alta calidad en Colombia.,"Ser reconocidos como uno de los principales productores avícolas de América Latina, expandiendo nuestra presencia en mercados internacionales.",2.5765
Pollo Bucanero,Agroindustria,Grande — > $50.000 M,>500,Medio - Digitalización de algunos procesos,Computación en la nube; Ciberseguridad; Big Data y analítica avanzada,Ser líderes en la producción y comercialización de productos avícolas de alta calidad en Colombia,Consolidarnos como una de las empresas más importantes de la industria avícola en Latinoamérica,2.5247
